Nelemtj = 608, ElemNodeEnd = 127, ElemMyelenEnd = 607
(Nodeid,phi):  (0,117.439),  (1,117.441),  (2,37.2222),  (3,0.525316),  (4,0.00736939),  (5,-0.000955691),  (6,-0.00108889),  (7,-0.00109165),  (8,-0.00109169),  (9,-0.00109169),  (10,-0.00109169),  (11,-0.00109169),  (12,-0.00109169),  (13,-0.00109169),  (14,-0.00109169),  (15,-0.00109169),  (16,-0.00109169),  (17,-0.00109169),  (18,-0.00109169),  (19,-0.00109169),  (20,-0.00109169),  (21,-0.00109169),  (22,-0.00109169),  (23,-0.00109169),  (24,-0.00109169),  (25,-0.00109169),  (26,-0.00109169),  (27,-0.00109169),  (28,-0.00109169),  (29,-0.00109169),  (30,-0.00109169),  (31,-0.00109168), 
frontloc = 0.00166817, frontloc_old = 0.001625, cond. vel. = 0.0431683 m/s

Writing: "ThinLine2DTestL06ISOV1_19.chk" (0s, XML)
Steps: 2000000  Time: 0.02        
 CPU Time: 48.586 min.
(Nodeid,phi):  (0,117.432),  (1,117.434),  (2,39.8439),  (3,0.563166),  (4,0.00797595),  (5,-0.000947765),  (6,-0.00109054),  (7,-0.0010935),  (8,-0.00109354),  (9,-0.00109354),  (10,-0.00109354),  (11,-0.00109354),  (12,-0.00109354),  (13,-0.00109354),  (14,-0.00109354),  (15,-0.00109354),  (16,-0.00109354),  (17,-0.00109354),  (18,-0.00109354),  (19,-0.00109354),  (20,-0.00109354),  (21,-0.00109354),  (22,-0.00109354),  (23,-0.00109354),  (24,-0.00109354),  (25,-0.00109354),  (26,-0.00109354),  (27,-0.00109354),  (28,-0.00109354),  (29,-0.00109354),  (30,-0.00109354),  (31,-0.00109353), 
frontloc = 0.00175, frontloc_old = 0.00166817, cond. vel. = 0.0818317 m/s

Writing: "ThinLine2DTestL06ISOV1_20.chk" (0s, XML)
Steps: 2100000  Time: 0.021       
 CPU Time: 48.5204 min.
